"id","ident","type","name","continent","iso_country","iso_region","municipality","iata_code"
"26873","WMKJ","medium_airport","Senai International Airport","AS","MY","MY-01","Johor Bahru","JHB"
"26874","WMKK","large_airport","Kuala Lumpur International Airport","AS","MY","MY-14","Kuala Lumpur","KUL"
"26875","WMKL","medium_airport","Langkawi International Airport","AS","MY","MY-02","Langkawi","LGK"
"26877","WMKN","medium_airport","Sultan Mahmud Airport","AS","MY","MY-11","Kuala Terengganu","TGG"
"26878","WMKP","medium_airport","Penang International Airport","AS","MY","MY-07","Penang","PEN"
"35209","WMPA","small_airport","Pulau Pangkor Airport","AS","MY","MY-08","Pangkor Island","PKG"
"26879","WMSA","medium_airport","Sultan Abdul Aziz Shah International Airport","AS","MY","MY-10","Subang","SZB"
"311018","WPAS","small_airport","Mathilda Batlayeri Airport","AS","ID","ID-MA","Saumlaki-Yamdena Island","SXK"
"26881","WPDL","medium_airport","Presidente Nicolau Lobato International Airport","AS","TL","TL-DI","Dili","DIL"
"41475","WRKA","small_airport","AA Bere Tallo (Haliwen) Airport","AS","ID","ID-NT","Atambua","ABU"
"41478","WRKL","small_airport","Gewayentana Airport","AS","ID","ID-NT","Larantuka-Flores Island","LKA"
"35279","WRLB","small_airport","Long Bawan Airport","AS","ID","ID-KU","Long Bawan","LBW"
"30806","WRLC","small_airport","Bontang Airport","AS","ID","ID-KI","Bontang-Borneo Island","BXT"
"35281","WRLF","small_airport","Nunukan Airport","AS","ID","ID-KU","Nunukan-Nunukan Island","NNX"
"35278","WRLP","small_airport","Long Apung Airport","AS","ID","ID-KU","Long Apung-Borneo Island","LPU"
"26886","WSSL","medium_airport","Seletar Airport","AS","SG","SG-02","Seletar","XSP"
"26887","WSSS","large_airport","Singapore Changi Airport","AS","SG","SG-04","Singapore","SIN"
"336110","WUZ","medium_airport","Wuzhou Xijiang Airport","AS","CN","CN-45","Tangbu","WUZ"
"332207","XRQ","small_airport","New Barag Right Banner Baogede Airport","AS","CN","CN-15","New Barag Right Banner","XRQ"
"26888","YABA","medium_airport","Albany Airport","OC","AU","AU-WA","Albany","ALH"
"26892","YARG","small_airport","Argyle Airport","OC","AU","AU-WA","-","GYL"
"26893","YARM","medium_airport","Armidale Airport","OC","AU","AU-NSW","Armidale","ARM"
"26894","YAUR","small_airport","Aurukun Airport","OC","AU","AU-QLD","Aurukun","AUU"
"26895","YAYE","medium_airport","Ayers Rock Connellan Airport","OC","AU","AU-NT","Yulara","AYQ"
"26899","YBAR","medium_airport","Barcaldine Airport","OC","AU","AU-QLD","Barcaldine","BCI"
"26900","YBAS","medium_airport","Alice Springs Airport","OC","AU","AU-NT","Alice Springs","ASP"
"27355","YBAU","small_airport","Badu Island Airport","OC","AU","AU-QLD","-","BDD"
"26901","YBBN","large_airport","Brisbane International Airport","OC","AU","AU-QLD","Brisbane","BNE"
"26902","YBCG","medium_airport","Gold Coast Airport","OC","AU","AU-QLD","Gold Coast","OOL"
"26903","YBCK","medium_airport","Blackall Airport","OC","AU","AU-QLD","Blackall","BKQ"
"26904","YBCS","medium_airport","Cairns International Airport","OC","AU","AU-QLD","Cairns","CNS"
"26905","YBCV","medium_airport","Charleville Airport","OC","AU","AU-QLD","Charleville","CTL"
"26907","YBDV","medium_airport","Birdsville Airport","OC","AU","AU-QLD","-","BVI"
"26908","YBHI","medium_airport","Broken Hill Airport","OC","AU","AU-NSW","Broken Hill","BHQ"
